date,away,away score,home,home score,winner
2019-05-03T00:30:00.000Z,Dallas Fuel,3,Florida Mayhem,1,Dallas Fuel
2019-06-07T00:55:00.000Z,Florida Mayhem,0,Seoul Dynasty,4,Seoul Dynasty
2019-06-16T20:35:00.000Z,Florida Mayhem,1,Paris Eternal,3,Paris Eternal
2019-06-22T01:05:00.000Z,San Francisco Shock,4,Florida Mayhem,0,San Francisco Shock
2019-06-23T22:30:00.000Z,Houston Outlaws,1,Florida Mayhem,3,Florida Mayhem
2019-06-29T22:45:00.000Z,Florida Mayhem,0,Hangzhou Spark,4,Hangzhou Spark
2019-07-06T15:30:00.000Z,Florida Mayhem,0,New York Excelsior,3,New York Excelsior
2019-07-07T20:15:00.000Z,Florida Mayhem,0,Atlanta Reign,4,Atlanta Reign
2019-07-28T22:30:00.000Z,Vancouver Titans,0,Florida Mayhem,0,N/A
2019-08-02T00:45:00.000Z,Florida Mayhem,0,Washington Justice,0,N/A
2019-08-03T20:45:00.000Z,Florida Mayhem,0,London Spitfire,0,N/A
2019-08-09T02:30:00.000Z,Toronto Defiant,0,Florida Mayhem,0,N/A
2019-08-10T22:30:00.000Z,Florida Mayhem,0,Los Angeles Valiant,0,N/A
2019-08-15T23:00:00.000Z,Boston Uprising,0,Florida Mayhem,0,N/A
2019-08-18T22:30:00.000Z,Florida Mayhem,0,Toronto Defiant,0,N/A
2019-02-16T05:30:00.000Z,Chengdu Hunters,3,Guangzhou Charge,2,Chengdu Hunters
2019-02-22T03:40:00.000Z,Guangzhou Charge,4,Dallas Fuel,0,Guangzhou Charge
2019-02-23T23:15:00.000Z,Vancouver Titans,3,Guangzhou Charge,2,Vancouver Titans
2019-03-01T03:25:00.000Z,Florida Mayhem,2,Guangzhou Charge,3,Guangzhou Charge
2019-03-03T23:25:00.000Z,Los Angeles Valiant,1,Guangzhou Charge,3,Guangzhou Charge
2019-03-09T23:40:00.000Z,Guangzhou Charge,1,Los Angeles Gladiators,3,Los Angeles Gladiators
2019-03-18T00:20:00.000Z,Guangzhou Charge,0,Vancouver Titans,4,Vancouver Titans
2019-04-05T04:05:00.000Z,Guangzhou Charge,0,Paris Eternal,4,Paris Eternal
2019-04-07T19:00:00.000Z,San Francisco Shock,4,Guangzhou Charge,0,San Francisco Shock
2019-04-13T02:45:00.000Z,Guangzhou Charge,0,San Francisco Shock,4,San Francisco Shock
2019-04-13T23:45:00.000Z,Los Angeles Gladiators,4,Guangzhou Charge,0,Los Angeles Gladiators
2019-04-20T04:30:00.000Z,Hangzhou Spark,3,Guangzhou Charge,2,Hangzhou Spark
2019-04-22T00:00:00.000Z,Atlanta Reign,1,Guangzhou Charge,3,Guangzhou Charge
2019-05-03T04:00:00.000Z,Guangzhou Charge,3,Houston Outlaws,2,Guangzhou Charge
2019-06-07T02:25:00.000Z,Guangzhou Charge,3,Chengdu Hunters,1,Guangzhou Charge
2019-06-08T22:05:00.000Z,Seoul Dynasty,4,Guangzhou Charge,0,Seoul Dynasty
2019-06-15T23:45:00.000Z,Guangzhou Charge,1,Los Angeles Valiant,3,Los Angeles Valiant
2019-06-22T22:35:00.000Z,Toronto Defiant,0,Guangzhou Charge,4,Guangzhou Charge
2019-06-30T00:15:00.000Z,Shanghai Dragons,3,Guangzhou Charge,1,Shanghai Dragons
2019-07-06T20:45:00.000Z,Guangzhou Charge,3,Shanghai Dragons,1,Guangzhou Charge
2019-07-07T18:00:00.000Z,Washington Justice,0,Guangzhou Charge,4,Guangzhou Charge
2019-07-26T02:30:00.000Z,Guangzhou Charge,0,Philadelphia Fusion,0,N/A
2019-07-27T20:45:00.000Z,Boston Uprising,0,Guangzhou Charge,0,N/A
2019-08-01T23:00:00.000Z,Guangzhou Charge,0,London Spitfire,0,N/A
2019-08-03T04:15:00.000Z,Guangzhou Charge,0,Hangzhou Spark,0,N/A
2019-08-09T04:15:00.000Z,Guangzhou Charge,0,Seoul Dynasty,0,N/A
2019-08-12T00:15:00.000Z,Guangzhou Charge,0,New York Excelsior,0,N/A
2019-08-19T00:15:00.000Z,Dallas Fuel,0,Guangzhou Charge,0,N/A
2019-05-10T02:55:00.000Z,Hangzhou Spark,3,London Spitfire,1,Hangzhou Spark
2019-05-11T19:00:00.000Z,Hangzhou Spark,0,San Francisco Shock,4,San Francisco Shock
2019-07-13T02:50:00.000Z,Los Angeles Valiant,3,Hangzhou Spark,2,Los Angeles Valiant
2019-02-15T05:08:00.000Z,Shanghai Dragons,1,Hangzhou Spark,3,Hangzhou Spark
2019-02-16T22:30:00.000Z,Los Angeles Valiant,2,Hangzhou Spark,3,Hangzhou Spark
2019-02-23T05:00:00.000Z,Houston Outlaws,3,Hangzhou Spark,1,Houston Outlaws
2019-02-24T20:00:00.000Z,Hangzhou Spark,1,London Spitfire,3,London Spitfire
2019-03-01T05:05:00.000Z,San Francisco Shock,3,Hangzhou Spark,1,San Francisco Shock
